,TITLE,URL
67,১৮৬৫ সালের ১৪ এপ্রিল রাতে বন্দুকধারীর গুলিতে নিহত হন যুক্তরাষ্ট্রের ১৬তম প্রেসিডেন্ট আব্রাহাম লিংকন। দস্তানাসহ তাঁর ব্যবহার করা আরও ১৪৪টি জিনিস নিলামে তোলা হয়।,https://www.prothomalo.com/world/usa/msk5xem9u7
68,"গত বছর অধ্যাপক ইউনূস যখন অন্তর্বর্তী সরকারের দায়িত্ব নেন, তখন কি ঘূর্ণাক্ষরেও ভেবেছিলেন সাড়ে ৯ মাসের মাথায় এমন একটা পরিস্থিতির মুখোমুখি হতে হবে তাঁকে?",https://www.prothomalo.com/opinion/column/2sdyi1vd9v
69, বিএনপি ক্ষমতায় গেলে সব শহীদ ও আহতদের পুরো দায়িত্ব রাষ্ট্র নেবে: রিজভী,https://www.prothomalo.com/bangladesh/district/qkrkdppspm
70,বৈষম্যবিরোধী ছাত্র আন্দোলন,/topic/বৈষম্যবিরোধী-ছাত্র-আন্দোলন
71, থাইল্যান্ডে চিকিৎসাধীন অবস্থায় মারা গেলেন জুলাইযোদ্ধা : উমামা ফাতেমা,https://www.prothomalo.com/bangladesh/v2ufb8t8qw
72, মানিকগঞ্জে বৈষম্যবিরোধী ছাত্র আন্দোলনের সাবেক দুই নেতা দুই দিনের রিমান্ডে,https://www.prothomalo.com/bangladesh/district/4pio1jj3yu
73, যা লেখা আছে চট্টগ্রাম বিশ্ববিদ্যালয়ের শহীদ ছাত্র হৃদয় তরুয়ার ফলাফল বিবরণীতে,https://www.prothomalo.com/bangladesh/district/t7du42lvdt
74, মানিকগঞ্জে চাঁদা দাবির অভিযোগে ছাত্র আন্দোলনের সাবেক দুই নেতা গ্রেপ্তার,https://www.prothomalo.com/bangladesh/district/mhd4gfncv2
75, ‘ফ্যাসিবাদের সহযোগী’ আখ্যা দিয়ে শতাধিক কর্মকর্তার তালিকা প্রকাশ জুলাই ঐক্যের,https://www.prothomalo.com/bangladesh/nlru3ojv3e
76," ‘আমি বলছি, আপনি গ্রেপ্তার করেন,’ পুলিশের সঙ্গে বাগ্‌বিতণ্ডায় জড়ানো তিনজন হেফাজতে",https://www.prothomalo.com/bangladesh/jzbmoodjoj
